# asic write-trace: 14 entries (head=14, ring=4096)
# seq jiffies type idx w0 rc poll
0 4294937003 NETIF(4) 1 393dc003 0 0
1 4294937003 L2(0) 536 5f010498 0 0
2 4294937003 ARP(1) 20 0000fc31 0 0
3 4294937003 NEXTHOP(13) 0 0000a020 0 0
4 4294937003 NEXTHOP(13) 1 0000a020 0 0
5 4294937003 ARP(1) 258 0000fc31 0 0
6 4294937008 L2(0) 476 e04c1259 0 0
7 4294937008 L2(0) 476 e04c1259 0 0
8 4294937008 ARP(1) 2 0000fbb9 0 0
9 4294937008 L3RT(2) 1 00000000 0 0
10 4294937013 NAPT(9) 654 c0a80002 0 0
11 4294937013 NAPT(9) 855 c0a80002 0 0
12 4294945992 NAPT(9) 654 00000000 0 0
13 4294945992 NAPT(9) 855 00000000 0 0
